wallet_address,total_transactions,total_amount_usd,avg_amount_usd,std_amount_usd,wallet_age_days,first_txn,last_txn,asset_diversity,txn_per_day,weighted_score,score_band
0x000000aaee6a496aaf7b7452518781786313400f,76,770814.6157095307,10142.297575125403,5740.490391895004,30,2019-07-02 10:53:55,2019-07-31 18:20:12,3,2.533333333333333,44.349647301350565,Good
0x00000a6bbb35ea3f6f8dbc94801738f490c30a8d,2,6.0637787186081775,3.0318893593040888,2.8654071927832216,3,2019-06-03 23:56:55,2019-06-06 20:25:14,1,0.6666666666666666,27.860523880401917,Low
0x0006e4548aed4502ec8c844567840ce6ef1013f5,25,236378.5771016673,9455.143084066693,8744.26301932009,73,2019-05-15 11:32:11,2019-07-26 16:45:57,4,0.3424657534246575,53.130849438423056,Good
0x0007808d13026d3245351759abc4f90a7bdd50de,2,14.972312938147345,7.486156469073673,3.5290080028703565,1,2019-08-02 05:16:52,2019-08-02 05:54:27,1,2.0,27.560090508255048,Low
0x000be263b3ceb55d22ed9b40d7619f62c4862c80,19,84697.51517168277,4457.763956404357,2520.430642407369,72,2019-05-27 02:41:05,2019-08-06 15:52:06,3,0.2638888888888889,48.17475044862197,Good
0x000ea36028ca0a4d56778c5333c3f164efd7e25c,1,1.872148117680432,1.872148117680432,0.0,1,2019-08-10 20:33:41,2019-08-10 20:33:41,1,1.0,27.52147911139806,Low
0x00120ec799017bbab1049174ac3cd706260effc4,2,1002.9618935991653,501.4809467995826,2.0943750491227786,30,2019-07-08 19:46:37,2019-08-07 13:57:13,2,0.06666666666666667,36.57327095419307,Low
0x0025bf06ed84d1e4039eeb03274d8a211dfec4ac,2,49708.76775937544,24854.38387968772,35008.55909709454,1,2019-08-08 12:59:39,2019-08-08 17:50:01,1,2.0,26.67008633620042,Low
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,3,2217.390877549547,739.1302925165156,780.4918252888602,60,2019-05-20 19:01:25,2019-07-19 12:35:30,1,0.05,36.442024435189815,Low
0x0029dc8d8ef8c287ad395732dbe5d5bf951da820,3,644.1110213856346,214.70367379521153,163.2154874530749,14,2019-07-02 08:27:48,2019-07-15 14:04:04,1,0.21428571428571427,29.54767442272973,Low
0x002f9caf40a444f20813da783d152bdfaf42852f,7,40879.936154330775,5839.990879190111,7772.731667108389,51,2019-05-26 21:29:28,2019-07-16 16:12:27,4,0.13725490196078433,49.05187735238459,Good
0x002fc216a6666b663add0bbfc8499d92431c06d7,1,3.13,3.13,0.0,1,2019-06-25 22:50:33,2019-06-25 22:50:33,1,1.0,27.521479775590326,Low
